"DataRef";"Vencimento";"DU";"Taxa"
"2022-01-07";2022-01-10;1;9,15
"2022-01-07";2022-02-01;17;9,158
"2022-01-07";2022-03-02;36;9,876
"2022-01-07";2022-04-01;58;10,41
"2022-01-07";2022-05-02;77;10,753
"2022-01-07";2022-06-01;99;11,1
"2022-01-07";2022-07-01;120;11,365
"2022-01-07";2022-08-01;141;11,545
"2022-01-07";2022-09-01;164;11,729
"2022-01-07";2022-10-03;185;11,825
"2022-01-07";2022-11-01;205;11,918
"2022-01-07";2022-12-01;225;11,957
"2022-01-07";2023-01-02;247;11,975
"2022-01-07";2023-04-03;310;12,016
"2022-01-07";2023-07-03;371;12,005
"2022-01-07";2023-10-02;435;11,88
"2022-01-07";2024-01-02;496;11,685
"2022-01-07";2024-04-01;557;11,635
"2022-01-07";2024-07-01;620;11,57
"2022-01-07";2024-10-01;686;11,493
"2022-01-07";2025-01-02;750;11,43
"2022-01-07";2025-04-01;811;11,405
"2022-01-07";2025-07-01;872;11,34
"2022-01-07";2025-10-01;938;11,385
"2022-01-07";2026-01-02;1003;11,315
"2022-01-07";2026-04-01;1064;11,336
"2022-01-07";2026-07-01;1125;11,29
"2022-01-07";2026-10-01;1190;11,345
"2022-01-07";2027-01-04;1253;11,315
"2022-01-07";2028-01-03;1504;11,28
"2022-01-07";2029-01-02;1753;11,36
"2022-01-07";2030-01-02;2003;11,27
"2022-01-07";2031-01-02;2256;11,36
"2022-01-07";2033-01-03;2761;11,39
"2022-01-07";2035-01-02;3261;11,374
"2022-01-07";2036-01-02;3511;11,36
"2022-01-07";2037-01-02;3765;11,438
